                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.7803,                 2.5879,                 1.6815,                0.68373,                0.42857,                0.46207,                0.14596,                 1.7947,                 2.6232,                 1.6588,             0.00064912,             0.00064912,             0.00064912
                      1,                 1.5619,                 1.9289,                 1.5078,                0.16267,                 0.2381,                0.10725,                0.03907,                 2.6545,                 3.1045,                 2.1613,              0.0013114,              0.0013114,              0.0013114
                      2,                  1.775,                  1.973,                 1.6345,                0.58744,                0.57143,                 0.5555,                 0.2806,                 1.6767,                 3.8808,                 2.0819,              0.0019694,              0.0019694,              0.0019694
                      3,                 1.6182,                  1.837,                 1.5458,                0.41654,                0.42857,                0.21783,                0.10095,                  2.056,                 2.7116,                 1.9672,              0.0019802,              0.0019802,              0.0019802
                      4,                 1.5814,                 1.7452,                  1.505,                0.29213,                 0.2381,                0.17816,                0.10138,                 2.3624,                 3.0951,                 2.2629,              0.0019802,              0.0019802,              0.0019802
                      5,                 1.6859,                 1.8003,                 1.6338,                0.47653,                0.42857,                0.38492,                0.15975,                 2.1373,                 2.2038,                 1.9703,              0.0019736,              0.0019736,              0.0019736
                      6,                 1.6637,                 1.7421,                 1.5929,                 0.3952,                0.66667,                0.34921,                0.17113,                 1.9458,                 3.7662,                  2.054,               0.001967,               0.001967,               0.001967
                      7,                 1.5639,                 1.5749,                 1.5727,                0.53881,                0.38095,                0.40986,                0.20783,                 1.7937,                 2.9547,                 1.8189,              0.0019604,              0.0019604,              0.0019604
                      8,                 1.5922,                  1.568,                 1.5367,                0.58204,                0.52381,                0.47198,                0.21184,                 1.9084,                 2.1216,                 2.1749,              0.0019538,              0.0019538,              0.0019538
                      9,                 1.5529,                  1.547,                 1.5137,                0.28493,                0.61905,                0.31798,                0.17771,                 1.8191,                 1.9974,                 1.8423,              0.0019472,              0.0019472,              0.0019472
                     10,                 1.5162,                 1.4427,                 1.4956,                0.65171,                0.66667,                0.58754,                0.28732,                 1.6352,                 2.3132,                 1.5246,              0.0019406,              0.0019406,              0.0019406
                     11,                 1.4799,                 1.4009,                 1.4512,                0.56202,                0.61905,                0.55617,                0.29772,                 1.8442,                  1.765,                 1.6615,               0.001934,               0.001934,               0.001934
